model_name,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,training_seconds
LightGBM,0.8960614432214299,0.869076215755687,0.9210528962693998,0.9335032366583415,0.9272362745296584,0.9597828493169706,0.23250427472491966,47.05977250199999
Random Forest,0.8473104126589236,0.8578309951493495,0.9455595684585822,0.8327131861970539,0.8855558506745879,0.9390888110686075,0.30044013136694486,350.184981881
MLP Neural Network,0.8635535241621708,0.8192372205637228,0.8874002503520576,0.9250420510729395,0.9058302678798709,0.9373641351404882,0.28315241943344904,104.61321834900014
Logistic Regression,0.8333887788015101,0.8354773873231576,0.9270571366796773,0.8304908507059483,0.8761211365151743,0.914720312822658,0.3819267541874925,303.95927714199996
